Country,State,Year,Sector Of Energy Sale,Categories Of Consumer For Electrical Energy Sales,"Energy Sale (UOM:Gwh(Gigawatthour)), Scaling Factor:1"
India,Karnataka,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,1132.850
India,Karnataka,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,1125.770
India,Karnataka,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,138.610
India,Karnataka,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,3919.780
India,Karnataka,"Financial Year (Apr - Mar), 2019",Private Licensees,Agriculture,177.660
India,Karnataka,"Financial Year (Apr - Mar), 2019",Private Licensees,Commercial,8.300
India,Karnataka,"Financial Year (Apr - Mar), 2019",Private Licensees,Domestic,33.380
India,Karnataka,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (High Voltage),2680.120
India,Karnataka,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (Low and Med Voltage),5.760
India,Karnataka,"Financial Year (Apr - Mar), 2019",Private Licensees,Miscellaneous,0.070
India,Karnataka,"Financial Year (Apr - Mar), 2019",Private Licensees,Public Lighting,2.290
India,Karnataka,"Financial Year (Apr - Mar), 2019",Private Licensees,Traction,0.000
India,Karnataka,"Financial Year (Apr - Mar), 2019",Private Licensees,Works and Sewage Pumping,12.640
India,Kerala,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,359.820
India,Kerala,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,5094.480
India,Kerala,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,11917.080
India,Kerala,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),2977.040
India,Kerala,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),1095.510
India,Kerala,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,620.010
India,Kerala,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,367.820
India,Kerala,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,322.960
India,Kerala,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.170
India,Kerala,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Agriculture,0.060
India,Kerala,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Commercial,60.290
India,Kerala,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Domestic,42.250
India,Kerala,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Industrial Power (High Voltage),0.000
India,Kerala,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Industrial Power (Low and Med Voltage),3.860
India,Kerala,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Miscellaneous,41.900
India,Kerala,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Public Lighting,0.940
India,Kerala,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Traction,0.710
India,Kerala,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Works and Sewage Pumping,0.000
India,Kerala,"Financial Year (Apr - Mar), 2019",Private Licensees,Agriculture,0.590
India,Kerala,"Financial Year (Apr - Mar), 2019",Private Licensees,Commercial,12.200
India,Kerala,"Financial Year (Apr - Mar), 2019",Private Licensees,Domestic,7.310
India,Kerala,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (High Voltage),154.430
India,Kerala,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (Low and Med Voltage),66.060
India,Kerala,"Financial Year (Apr - Mar), 2019",Private Licensees,Miscellaneous,2.740
India,Kerala,"Financial Year (Apr - Mar), 2019",Private Licensees,Public Lighting,0.620
India,Kerala,"Financial Year (Apr - Mar), 2019",Private Licensees,Traction,0.000
India,Kerala,"Financial Year (Apr - Mar), 2019",Private Licensees,Works and Sewage Pumping,0.090
India,Ladakh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,8.048
India,Ladakh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,30.651
India,Ladakh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,97.229
India,Ladakh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),30.593
India,Ladakh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),14.223
India,Ladakh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,33.353
India,Ladakh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,1.375
India,Ladakh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.499
India,Ladakh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,16.359
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,0.000
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,11.530
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,35.590
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),0.000
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),0.360
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,0.140
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,0.810
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Lakshadweep,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,22791.390
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,3223.540
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,14703.870
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),10143.120
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),1305.950
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,1627.830
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,398.000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,2213.610
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,1622.970
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Agriculture,225.550
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Commercial,30.780
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Domestic,255.820
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (High Voltage),0.000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (Low and Med Voltage),36.400
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Miscellaneous,26.030
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Public Lighting,5.710
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Traction,0.000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Private Licensees,Works and Sewage Pumping,17.860
India,Maharashtra,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,29291.010
India,Maharashtra,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,8009.910
India,Maharashtra,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,21418.310
India,Maharashtra,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),30171.470
India,Maharashtra,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),8995.150
India,Maharashtra,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,1708.380
India,Maharashtra,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,1906.710
India,Maharashtra,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,2558.130
India,Maharashtra,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,2732.600
India,Maharashtra,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Agriculture,0.000
India,Maharashtra,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Commercial,2097.190
India,Maharashtra,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Domestic,2064.750
India,Maharashtra,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Industrial Power (High Voltage),178.860
India,Maharashtra,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Industrial Power (Low and Med Voltage),131.360
India,Maharashtra,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Miscellaneous,36.170
India,Maharashtra,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Public Lighting,15.980
India,Maharashtra,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Traction,2.220
India,Maharashtra,"Financial Year (Apr - Mar), 2019",MUNICIPALITIES,Works and Sewage Pumping,42.790
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Private Licensees,Agriculture,0.220
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Private Licensees,Commercial,5632.460
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Private Licensees,Domestic,6324.820
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (High Voltage),1232.180
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (Low and Med Voltage),835.600
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Private Licensees,Miscellaneous,14.020
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Private Licensees,Public Lighting,48.900
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Private Licensees,Traction,99.380
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Private Licensees,Works and Sewage Pumping,96.350
India,Manipur,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,2.180
India,Manipur,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,68.120
India,Manipur,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,388.080
India,Manipur,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),9.310
India,Manipur,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),21.490
India,Manipur,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,109.970
India,Manipur,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,10.190
India,Manipur,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Manipur,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,21.820
India,Meghalaya,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,0.310
India,Meghalaya,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,99.190
India,Meghalaya,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,465.190
India,Meghalaya,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),544.400
India,Meghalaya,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),5.840
India,Meghalaya,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,102.570
India,Meghalaya,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,0.120
India,Meghalaya,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Meghalaya,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,41.860
India,Mizoram,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,0.140
India,Mizoram,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,48.280
India,Mizoram,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,288.910
India,Mizoram,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),9.260
India,Mizoram,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),1.660
India,Mizoram,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,71.740
India,Mizoram,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,2.110
India,Mizoram,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Mizoram,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,64.290
India,Nagaland,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,0.000
India,Nagaland,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,99.510
India,Nagaland,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,388.040
India,Nagaland,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),0.000
India,Nagaland,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),68.410
India,Nagaland,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,111.010
India,Nagaland,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,15.170
India,Nagaland,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Nagaland,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,10.580
India,Odisha,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,0.000
India,Odisha,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,0.000
India,Odisha,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,0.000
India,Odisha,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),0.000
India,Odisha,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),0.000
India,Odisha,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,0.000
India,Odisha,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,0.000
India,Odisha,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Odisha,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.000
India,Odisha,"Financial Year (Apr - Mar), 2019",Private Licensees,Agriculture,579.150
India,Odisha,"Financial Year (Apr - Mar), 2019",Private Licensees,Commercial,2309.180
India,Odisha,"Financial Year (Apr - Mar), 2019",Private Licensees,Domestic,7522.810
India,Odisha,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (High Voltage),7038.650
India,Odisha,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (Low and Med Voltage),376.670
India,Odisha,"Financial Year (Apr - Mar), 2019",Private Licensees,Miscellaneous,859.390
India,Odisha,"Financial Year (Apr - Mar), 2019",Private Licensees,Public Lighting,229.460
India,Odisha,"Financial Year (Apr - Mar), 2019",Private Licensees,Traction,1473.550
India,Odisha,"Financial Year (Apr - Mar), 2019",Private Licensees,Works and Sewage Pumping,327.030
India,Puducherry,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,55.320
India,Puducherry,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,219.860
India,Puducherry,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,810.590
India,Puducherry,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),1396.600
India,Puducherry,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),183.690
India,Puducherry,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,24.310
India,Puducherry,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,23.410
India,Puducherry,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Puducherry,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.000
India,Punjab,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,11581.560
India,Punjab,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,3795.500
India,Punjab,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,13612.800
India,Punjab,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),14154.210
India,Punjab,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),4136.010
India,Punjab,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,1489.810
India,Punjab,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,139.940
India,Punjab,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,258.220
India,Punjab,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,0.000
India,Rajasthan,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,25664.750
India,Rajasthan,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,4813.260
India,Rajasthan,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,12660.820
India,Rajasthan,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),11298.000
India,Rajasthan,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),3011.190
India,Rajasthan,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,1436.720
India,Rajasthan,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,304.760
India,Rajasthan,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Traction,0.000
India,Rajasthan,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Works and Sewage Pumping,2370.570
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Private Licensees,Agriculture,0.000
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Private Licensees,Commercial,0.000
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Private Licensees,Domestic,0.000
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (High Voltage),0.000
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Private Licensees,Industrial Power (Low and Med Voltage),0.000
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Private Licensees,Miscellaneous,0.000
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Private Licensees,Public Lighting,0.000
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Private Licensees,Traction,381.880
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Private Licensees,Works and Sewage Pumping,0.000
India,Sikkim,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Agriculture,0.000
India,Sikkim,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Commercial,42.050
India,Sikkim,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Domestic,107.940
India,Sikkim,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (High Voltage),226.640
India,Sikkim,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Industrial Power (Low and Med Voltage),1.850
India,Sikkim,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Miscellaneous,32.530
India,Sikkim,"Financial Year (Apr - Mar), 2019",GOVT DEPTT/CENTRAL SECTOR UNDERTAKINGS/CORPORATIONS,Public Lighting,0.340
